algorithm,n_positive,n_negative,mean_z_positive,mean_z_negative,mean_green_fraction_positive,mean_scored_tokens_positive,mean_ppl_positive,ppl_delta_vs_plain,auroc,tpr_at_5pct_fpr
KGW,500,500,8.839445469293972,-0.13423203790451815,0.5621626737110493,159.29,21.388321677455313,7.986016320791112,0.995532,0.99
SWEET,500,500,9.71556539848878,-0.05665893607976488,0.6265385837693338,132.396,17.238926265062982,3.836620908398782,0.9982159999999999,0.994
EWD,500,500,9.668749340033372,-0.056122825344295385,0.5621626737110493,159.29,21.388321677455313,7.986016320791112,0.9984919999999999,0.988
