algorithm,n_positive,n_negative,mean_z_positive,mean_z_negative,mean_green_fraction_positive,mean_scored_tokens_positive,mean_ppl_positive,ppl_delta_vs_plain,auroc,tpr_at_5pct_fpr
KGW,20,20,9.266192628519683,-0.1224744871391589,0.5704574108627883,166.35,11.209141618394462,2.1274800098999744,1.0,1.0
SWEET,20,20,8.718513365983782,-0.06892079510305346,0.6187590092938281,114.45,12.945115582765387,3.8634539742709,1.0,1.0
EWD,20,20,10.277957162018424,-0.019180747836588852,0.5704574108627883,166.35,11.209141618394462,2.1274800098999744,1.0,1.0
