algorithm,n_positive,n_negative,mean_z_positive,mean_z_negative,mean_green_fraction_positive,mean_scored_tokens_positive,mean_ppl_positive,ppl_delta_vs_plain,auroc,tpr_at_5pct_fpr
KGW,164,164,5.820494340109102,-1.916914131250539,0.485336704175447,120.88414634146342,12.35266850055487,4.1276538335234125,0.9802572873289709,0.9512195121951219
SWEET,164,164,6.417516042384479,-0.41726082542923815,0.6071703396498114,61.01829268292683,11.24823194185659,3.0232172748251323,0.9794579119571685,0.9573170731707317
EWD,164,164,7.395064688957706,-0.48347056560312984,0.485336704175447,120.88414634146342,12.35266850055487,4.1276538335234125,0.9883625817965496,0.9878048780487805
