algorithm,n_positive,n_negative,mean_z_positive,mean_z_negative,mean_green_fraction_positive,mean_scored_tokens_positive,mean_ppl_positive,ppl_delta_vs_plain,auroc,tpr_at_5pct_fpr
KGW,200,200,8.92463412392606,-0.1894272067752324,0.5627304822697385,159.435,18.750936369029095,4.990743892437825,0.992725,0.98
SWEET,200,200,9.655402355224881,-0.14353324053903124,0.6201226138839393,133.095,16.362435150367677,2.6022426737764075,0.996125,0.99
EWD,200,200,9.730786321802784,-0.1460232022183776,0.5627304822697385,159.435,18.750936369029095,4.990743892437825,0.99815,0.985
