algorithm,n_positive,n_negative,mean_z_positive,mean_z_negative,mean_green_fraction_positive,mean_scored_tokens_positive,mean_ppl_positive,ppl_delta_vs_plain,auroc,tpr_at_5pct_fpr
KGW,4,4,10.666666666666666,0.2370948101022226,0.9166666666666666,48.0,50095.76033955016,-138.54942365683382,1.0,1.0
SWEET,4,4,10.583333333333334,0.2370948101022226,0.9114583333333334,48.0,50232.686629960044,-1.6231332469469635,1.0,1.0
EWD,4,4,10.66666634923072,0.23709490292371493,0.9166666666666666,48.0,50095.76033955016,-138.54942365683382,1.0,1.0
